city,city_ascii,lat,lng,country,iso2,iso3,admin_name,capital,population,id,city_ascii_lower
São Paulo,Sao Paulo,-23.55,-46.6333,Brazil,BR,BRA,São Paulo,admin,23086000.0,1076532519,sao paulo
Rio de Janeiro,Rio De Janeiro,-22.9111,-43.2056,Brazil,BR,BRA,Rio de Janeiro,admin,12592000.0,1076887657,rio de janeiro
Belo Horizonte,Belo Horizonte,-19.9167,-43.9333,Brazil,BR,BRA,Minas Gerais,admin,5328000.0,1076967355,belo horizonte
Brasília,Brasilia,-15.7939,-47.8828,Brazil,BR,BRA,Distrito Federal,primary,3039444.0,1076144436,brasilia
Salvador,Salvador,-12.9747,-38.4767,Brazil,BR,BRA,Bahia,admin,2886698.0,1076923789,salvador
Fortaleza,Fortaleza,-3.7275,-38.5275,Brazil,BR,BRA,Ceará,admin,2452185.0,1076567885,fortaleza
Manaus,Manaus,-3.1,-60.0167,Brazil,BR,BRA,Amazonas,admin,2219580.0,1076607274,manaus
Santos,Santos,-23.9369,-46.325,Brazil,BR,BRA,São Paulo,,1897551.0,1076033299,santos
Curitiba,Curitiba,-25.4297,-49.2711,Brazil,BR,BRA,Paraná,admin,1879355.0,1076701712,curitiba
Recife,Recife,-8.05,-34.9,Brazil,BR,BRA,Pernambuco,admin,1653461.0,1076137337,recife
Belém,Belem,-1.4558,-48.5039,Brazil,BR,BRA,Pará,admin,1499641.0,1076646823,belem
Porto Alegre,Porto Alegre,-30.0331,-51.23,Brazil,BR,BRA,Rio Grande do Sul,admin,1484941.0,1076658221,porto alegre
Goiânia,Goiania,-16.6667,-49.25,Brazil,BR,BRA,Goiás,admin,1393575.0,1076034054,goiania
Guarulhos,Guarulhos,-23.4628,-46.5328,Brazil,BR,BRA,São Paulo,,1324781.0,1076730420,guarulhos
Campinas,Campinas,-22.9058,-47.0608,Brazil,BR,BRA,São Paulo,,1213792.0,1076145766,campinas
Vila Velha,Vila Velha,3.2167,-51.2167,Brazil,BR,BRA,Amapá,,1209091.0,1076575691,vila velha
São Luís,Sao Luis,-2.5283,-44.3044,Brazil,BR,BRA,Maranhão,admin,1108975.0,1076819308,sao luis
São Gonçalo,Sao Goncalo,-22.8269,-43.0539,Brazil,BR,BRA,Rio de Janeiro,,1077687.0,1076485783,sao goncalo
Maceió,Maceio,-9.6658,-35.735,Brazil,BR,BRA,Alagoas,admin,1025360.0,1076440479,maceio
Natal,Natal,-6.9838,-60.2699,Brazil,BR,BRA,Amazonas,,980588.0,1076336975,natal
Teresina,Teresina,-5.0949,-42.8042,Brazil,BR,BRA,Piauí,admin,953172.0,1076727667,teresina
Campo Grande,Campo Grande,-20.4839,-54.615,Brazil,BR,BRA,Mato Grosso do Sul,admin,906092.0,1076660445,campo grande
Iguaçu,Iguacu,-22.74,-43.47,Brazil,BR,BRA,Rio de Janeiro,,844583.0,1076339714,iguacu
São Bernardo do Campo,Sao Bernardo Do Campo,-23.7,-46.55,Brazil,BR,BRA,São Paulo,,816925.0,1076793227,sao bernardo do campo
João Pessoa,Joao Pessoa,-7.12,-34.88,Brazil,BR,BRA,Paraíba,admin,801718.0,1076922014,joao pessoa
Abaeté,Abaete,-19.1583,-45.4522,Brazil,BR,BRA,Minas Gerais,,800000.0,1076413528,abaete
São José dos Campos,Sao Jose Dos Campos,-23.1789,-45.8869,Brazil,BR,BRA,São Paulo,,729737.0,1076783887,sao jose dos campos
Santo André,Santo Andre,-23.6572,-46.5333,Brazil,BR,BRA,São Paulo,,721368.0,1076625886,santo andre
Jaboatão,Jaboatao,-8.1803,-35.0014,Brazil,BR,BRA,Pernambuco,,702621.0,1076000699,jaboatao
Ribeirão Prêto,Ribeirao Preto,-21.1783,-47.8067,Brazil,BR,BRA,São Paulo,,711825.0,1076524478,ribeirao preto
Osasco,Osasco,-23.5328,-46.7919,Brazil,BR,BRA,São Paulo,,694844.0,1076786452,osasco
Contagem,Contagem,-19.9319,-44.0539,Brazil,BR,BRA,Minas Gerais,,648766.0,1076845191,contagem
Sorocaba,Sorocaba,-23.5017,-47.4581,Brazil,BR,BRA,São Paulo,,644919.0,1076758708,sorocaba
Aracaju,Aracaju,-10.9167,-37.05,Brazil,BR,BRA,Sergipe,admin,632744.0,1076527830,aracaju
Feira de Santana,Feira De Santana,-12.25,-38.95,Brazil,BR,BRA,Bahia,,617528.0,1076892244,feira de santana
Uberlândia,Uberlandia,-18.9231,-48.2886,Brazil,BR,BRA,Minas Gerais,,604013.0,1076495001,uberlandia
Cuiabá,Cuiaba,-15.5958,-56.0969,Brazil,BR,BRA,Mato Grosso,admin,585367.0,1076112309,cuiaba
Juiz de Fora,Juiz De Fora,-21.7619,-43.3494,Brazil,BR,BRA,Minas Gerais,,573285.0,1076006144,juiz de fora
Londrina,Londrina,-23.31,-51.1628,Brazil,BR,BRA,Paraná,,548249.0,1076723241,londrina
Ananindeua,Ananindeua,-1.3658,-48.3719,Brazil,BR,BRA,Pará,,540410.0,1076025295,ananindeua
Joinvile,Joinvile,-26.3204,-48.8437,Brazil,BR,BRA,Santa Catarina,,515288.0,1076050637,joinvile
Macapá,Macapa,0.033,-51.0653,Brazil,BR,BRA,Amapá,admin,512902.0,1076189884,macapa
Niterói,Niteroi,-22.8833,-43.1036,Brazil,BR,BRA,Rio de Janeiro,,496696.0,1076501425,niteroi
Serra,Serra,-20.1289,-40.3078,Brazil,BR,BRA,Espírito Santo,,485376.0,1076191325,serra
Florianópolis,Florianopolis,-27.6122,-48.4853,Brazil,BR,BRA,Santa Catarina,admin,477798.0,1076190259,florianopolis
São José do Rio Prêto,Sao Jose Do Rio Preto,-20.8081,-49.3811,Brazil,BR,BRA,São Paulo,,469173.0,1076760827,sao jose do rio preto
Campos,Campos,-21.7539,-41.3239,Brazil,BR,BRA,Rio de Janeiro,,463731.0,1076606365,campos
Mauá,Maua,-23.6678,-46.4608,Brazil,BR,BRA,São Paulo,,453286.0,1076477498,maua
Mogi das Cruzes,Mogi Das Cruzes,-23.5228,-46.1878,Brazil,BR,BRA,São Paulo,,450785.0,1076857883,mogi das cruzes
Diadema,Diadema,-23.6861,-46.6106,Brazil,BR,BRA,São Paulo,,426757.0,1076867279,diadema
Caxias do Sul,Caxias Do Sul,-29.1667,-51.1833,Brazil,BR,BRA,Rio Grande do Sul,,435564.0,1076809957,caxias do sul
Porto Velho,Porto Velho,-8.7619,-63.9039,Brazil,BR,BRA,Rondônia,admin,428527.0,1076045591,porto velho
Boa Vista,Boa Vista,2.8194,-60.6714,Brazil,BR,BRA,Roraima,admin,419652.0,1076621300,boa vista
Carapicuíba,Carapicuiba,-23.5192,-46.8358,Brazil,BR,BRA,São Paulo,,403183.0,1076874103,carapicuiba
Rio Branco,Rio Branco,-9.9747,-67.81,Brazil,BR,BRA,Acre,admin,413418.0,1076391263,rio branco
Campina Grande,Campina Grande,-7.2306,-35.8811,Brazil,BR,BRA,Paraíba,,405072.0,1076218697,campina grande
Maringá,Maringa,-23.4,-51.9167,Brazil,BR,BRA,Paraná,,403063.0,1076013378,maringa
Jundiaí,Jundiai,-23.1858,-46.8839,Brazil,BR,BRA,São Paulo,,401896.0,1076998392,jundiai
Olinda,Olinda,-8.0,-34.8833,Brazil,BR,BRA,Pernambuco,,393115.0,1076784718,olinda
Piracicaba,Piracicaba,-22.7253,-47.6492,Brazil,BR,BRA,São Paulo,,391449.0,1076166252,piracicaba
Betim,Betim,-19.9678,-44.1978,Brazil,BR,BRA,Minas Gerais,,378089.0,1076953384,betim
Caucaia,Caucaia,-3.7167,-38.65,Brazil,BR,BRA,Ceará,,368918.0,1076870058,caucaia
Bauru,Bauru,-22.315,-49.0608,Brazil,BR,BRA,São Paulo,,366992.0,1076905338,bauru
Anápolis,Anapolis,-16.3339,-48.9519,Brazil,BR,BRA,Goiás,,366491.0,1076208869,anapolis
Blumenau,Blumenau,-26.9333,-49.05,Brazil,BR,BRA,Santa Catarina,,361855.0,1076618665,blumenau
Montes Claros,Montes Claros,-16.7306,-43.8639,Brazil,BR,BRA,Minas Gerais,,361915.0,1076113275,montes claros
Vitória,Vitoria,-20.2889,-40.3083,Brazil,BR,BRA,Espírito Santo,admin,355875.0,1076376829,vitoria
Franca,Franca,-20.5389,-47.4008,Brazil,BR,BRA,São Paulo,,358539.0,1076740256,franca
São Vicente,Sao Vicente,-23.9633,-46.3922,Brazil,BR,BRA,São Paulo,,355542.0,1076857089,sao vicente
Itaquaquecetuba,Itaquaquecetuba,-23.4864,-46.3486,Brazil,BR,BRA,São Paulo,,352801.0,1076942224,itaquaquecetuba
